region_id,longitude,latitude,native_cell_count,small_region_lt_4_cells,spatial_fold_5
MYS_05_26,112.75,3.25,1,True,2
MYS_05_27,113.25,3.25,1,True,2
MYS_05_28,113.75,3.25,1,True,2
MYS_05_29,114.25,3.25,1,True,2
MYS_05_30,114.75,3.25,1,True,2
MYS_05_31,115.25,3.25,1,True,2
MYS_05_32,115.75,3.25,1,True,2
MYS_06_02,100.75,3.75,1,True,3
MYS_06_03,101.25,3.75,1,True,3
MYS_06_04,101.75,3.75,1,True,1
MYS_06_05,102.25,3.75,1,True,1
MYS_06_06,102.75,3.75,1,True,1
MYS_06_07,103.25,3.75,1,True,1
MYS_06_27,113.25,3.75,1,True,2
MYS_06_28,113.75,3.75,1,True,2
MYS_06_29,114.25,3.75,1,True,2
MYS_06_30,114.75,3.75,1,True,2
MYS_06_31,115.25,3.75,1,True,2
MYS_06_32,115.75,3.75,1,True,2
MYS_07_02,100.75,4.25,1,True,3
MYS_07_03,101.25,4.25,1,True,3
MYS_07_04,101.75,4.25,1,True,3
MYS_07_05,102.25,4.25,1,True,3
MYS_07_06,102.75,4.25,1,True,1
MYS_07_07,103.25,4.25,1,True,1
MYS_07_28,113.75,4.25,1,True,2
MYS_07_29,114.25,4.25,1,True,2
MYS_07_30,114.75,4.25,1,True,2
MYS_07_31,115.25,4.25,1,True,2
MYS_07_32,115.75,4.25,1,True,2
MYS_07_33,116.25,4.25,1,True,4
MYS_07_34,116.75,4.25,1,True,4
MYS_07_35,117.25,4.25,1,True,4
MYS_07_36,117.75,4.25,1,True,4
MYS_07_37,118.25,4.25,1,True,4
MYS_07_38,118.75,4.25,1,True,4
MYS_08_02,100.75,4.75,1,True,3
MYS_08_03,101.25,4.75,1,True,3
MYS_08_04,101.75,4.75,1,True,3
MYS_08_05,102.25,4.75,1,True,3
MYS_08_06,102.75,4.75,1,True,3
MYS_08_07,103.25,4.75,1,True,3
MYS_08_08,103.75,4.75,1,True,1
MYS_08_29,114.25,4.75,1,True,2
MYS_08_30,114.75,4.75,1,True,2
MYS_08_31,115.25,4.75,1,True,2
MYS_08_32,115.75,4.75,1,True,4
MYS_08_33,116.25,4.75,1,True,4
MYS_08_34,116.75,4.75,1,True,4
MYS_08_35,117.25,4.75,1,True,4
MYS_08_36,117.75,4.75,1,True,4
MYS_08_37,118.25,4.75,1,True,4
MYS_08_38,118.75,4.75,1,True,4
MYS_09_01,100.25,5.25,1,True,3
MYS_09_02,100.75,5.25,1,True,3
MYS_09_03,101.25,5.25,1,True,3
MYS_09_04,101.75,5.25,1,True,3
MYS_09_05,102.25,5.25,1,True,3
MYS_09_06,102.75,5.25,1,True,3
MYS_09_07,103.25,5.25,1,True,3
MYS_09_31,115.25,5.25,1,True,4
MYS_09_32,115.75,5.25,1,True,4
MYS_09_33,116.25,5.25,1,True,4
MYS_09_34,116.75,5.25,1,True,4
MYS_09_35,117.25,5.25,1,True,4
MYS_09_36,117.75,5.25,1,True,4
MYS_09_37,118.25,5.25,1,True,4
MYS_09_38,118.75,5.25,1,True,4
MYS_09_39,119.25,5.25,1,True,4
MYS_10_01,100.25,5.75,1,True,3
MYS_10_02,100.75,5.75,1,True,3
MYS_10_03,101.25,5.75,1,True,3
MYS_10_04,101.75,5.75,1,True,3
MYS_10_05,102.25,5.75,1,True,3
MYS_10_06,102.75,5.75,1,True,3
MYS_10_31,115.25,5.75,1,True,4
MYS_10_32,115.75,5.75,1,True,4
MYS_10_33,116.25,5.75,1,True,4
MYS_10_34,116.75,5.75,1,True,4
MYS_10_35,117.25,5.75,1,True,4
MYS_10_36,117.75,5.75,1,True,4
MYS_10_37,118.25,5.75,1,True,4
MYS_10_38,118.75,5.75,1,True,4
MYS_11_00,99.75,6.25,1,True,3
MYS_11_01,100.25,6.25,1,True,3
MYS_11_02,100.75,6.25,1,True,3
MYS_11_03,101.25,6.25,1,True,3
MYS_11_04,101.75,6.25,1,True,3
MYS_11_05,102.25,6.25,1,True,3
MYS_11_32,115.75,6.25,1,True,4
MYS_11_33,116.25,6.25,1,True,4
MYS_11_34,116.75,6.25,1,True,4
MYS_11_35,117.25,6.25,1,True,4
MYS_11_36,117.75,6.25,1,True,4
MYS_11_37,118.25,6.25,1,True,4
MYS_12_01,100.25,6.75,1,True,3
MYS_12_02,100.75,6.75,1,True,3
MYS_12_33,116.25,6.75,1,True,4
MYS_12_34,116.75,6.75,1,True,4
MYS_12_35,117.25,6.75,1,True,4
MYS_12_36,117.75,6.75,1,True,4
MYS_13_34,116.75,7.25,1,True,4
MYS_13_35,117.25,7.25,1,True,4
